sku,produto,categoria,tamanho,cor,foto_origem,arquivo,public_url
PROD-00048,Short Run - Preto (G),Short,G,Preto,Produtos_Images/PROD-00048.Foto.114114.jpg,PROD-00048.Foto.114114.jpg,/fitness-products/PROD-00048.Foto.114114.jpg
PROD_31401,Blusa Canelada - Branco c/ Verde (G),Camiseta,G,Branco c/ Verde,Produtos_Images/PROD_31401.Foto.154421.jpg,PROD_31401.Foto.154421.jpg,/fitness-products/PROD_31401.Foto.154421.jpg
PROD_40103,Blusa Canelada - Verde (G),Camiseta,G,Verde,Produtos_Images/PROD_40103.Foto.205349.jpg,PROD_40103.Foto.205349.jpg,/fitness-products/PROD_40103.Foto.205349.jpg
PROD_62510,Blusa Canelada - Azul (G),Camiseta,G,Azul,Produtos_Images/PROD_62510.Foto.205341.jpg,PROD_62510.Foto.205341.jpg,/fitness-products/PROD_62510.Foto.205341.jpg
PROD_85458,Short com bolso lateral - Marrom (G),Short,G,Marrom,Produtos_Images/PROD_85458.Foto.001953.jpg,PROD_85458.Foto.001953.jpg,/fitness-products/PROD_85458.Foto.001953.jpg
PROD_68278,Short com bolso lateral - Azul Marinho (M),Short,M,Azul Marinho,Produtos_Images/PROD_68278.Foto.001947.jpg,PROD_68278.Foto.001947.jpg,/fitness-products/PROD_68278.Foto.001947.jpg
PROD_35804,Blusa de Tule - Preto (M),Camiseta,M,Preto,Produtos_Images/PROD_35804.Foto.001932.jpg,PROD_35804.Foto.001932.jpg,/fitness-products/PROD_35804.Foto.001932.jpg
PROD_61018,Short com bolso lateral - Azul Marinho (G),Short,G,Azul Marinho,Produtos_Images/PROD_61018.Foto.001941.jpg,PROD_61018.Foto.001941.jpg,/fitness-products/PROD_61018.Foto.001941.jpg
PROD_94901,Short com bolso lateral - Preto (M),Short,M,Preto,Produtos_Images/PROD_94901.Foto.002007.jpg,PROD_94901.Foto.002007.jpg,/fitness-products/PROD_94901.Foto.002007.jpg
PROD_36592,Blusa de Tule - Azul Marinho (M),Camiseta,M,Azul Marinho,Produtos_Images/PROD_36592.Foto.001920.jpg,PROD_36592.Foto.001920.jpg,/fitness-products/PROD_36592.Foto.001920.jpg
PROD_23381,Short com bolso lateral - Preto (G),Short,G,Preto,Produtos_Images/PROD_23381.Foto.001959.jpg,PROD_23381.Foto.001959.jpg,/fitness-products/PROD_23381.Foto.001959.jpg
PROD_69395,Blusa de Tule - Branco (M),Camiseta,M,Branco,Produtos_Images/PROD_69395.Foto.001927.jpg,PROD_69395.Foto.001927.jpg,/fitness-products/PROD_69395.Foto.001927.jpg
